store_id,store_name,link_url
00000074,アイリッシュパブ・ザ・ハカタハープ,https://tabelog.com/fukuoka/A4001/A400102/40001513/
00000075,ビアレストラン オークラブルワリー,https://tabelog.com/fukuoka/A4001/A400102/40043391/
00000076,あご出汁餃子 ゆでタン さんじ 中洲店,https://tabelog.com/fukuoka/A4001/A400102/40054062/
00000077,博多おっしょい,https://tabelog.com/fukuoka/A4001/A400102/40055892/
00000078,しゃぶしゃぶ 美食 悠太郎,https://tabelog.com/fukuoka/A4001/A400102/40047000/
00000079,祇園本陣,https://tabelog.com/fukuoka/A4001/A400102/40003491/
00000080,伊都の台所 中洲本店,https://tabelog.com/fukuoka/A4001/A400102/40047520/
00000081,博多もつ鍋 いっとく家 キャナルシティ博多前店,https://tabelog.com/fukuoka/A4001/A400102/40058913/
00000082,鳥善 中洲店,https://tabelog.com/fukuoka/A4001/A400102/40000126/
00000083,博多牛たん たん博,https://tabelog.com/fukuoka/A4001/A400102/40037552/
00000084,ステーキ&バー・ベブ,https://tabelog.com/fukuoka/A4001/A400102/40048116/
00000085,酒房 やす,https://tabelog.com/fukuoka/A4001/A400102/40013992/
00000086,中洲の屋台 小島商店 feat シラチャンラーメン,https://tabelog.com/fukuoka/A4001/A400102/40048426/
00000087,馬加処いとう,https://tabelog.com/fukuoka/A4001/A400102/40005319/
00000088,博多うまか遊び 庵,https://tabelog.com/fukuoka/A4001/A400102/40001687/
00000089,蔵元 中洲店,https://tabelog.com/fukuoka/A4001/A400102/40050510/
00000090,肉炉端マウンテン,https://tabelog.com/fukuoka/A4001/A400102/40043586/
00000091,レストラン デルマール,https://tabelog.com/fukuoka/A4001/A400102/40047287/
00000092,ごっそう道楽,https://tabelog.com/fukuoka/A4001/A400102/40006628/
00000093,岩兵衛,https://tabelog.com/fukuoka/A4001/A400102/40022377/
00000094,博多かんべえ 中洲邸,https://tabelog.com/fukuoka/A4001/A400102/40032503/
00000095,かわのそば,https://tabelog.com/fukuoka/A4001/A400102/40057733/
00000096,オレズ・マガラズ 須崎店,https://tabelog.com/fukuoka/A4001/A400102/40031144/
00000097,まんげつ,https://tabelog.com/fukuoka/A4001/A400102/40034039/
00000098,立ち飲み処　ちかっぱ,https://tabelog.com/fukuoka/A4001/A400102/40043440/
00000099,とん平 本店,https://tabelog.com/fukuoka/A4001/A400102/40006603/
00000100,屋台 もり,https://tabelog.com/fukuoka/A4001/A400102/40024514/
00000101,奇術の店 スタンドバー西岡,https://tabelog.com/fukuoka/A4001/A400102/40000162/
00000102,釜炊き飯の焼肉店 紅だるま 中洲本店,https://tabelog.com/fukuoka/A4001/A400102/40052616/
00000103,わらきたれ,https://tabelog.com/fukuoka/A4001/A400102/40005989/
00000104,喜分家,https://tabelog.com/fukuoka/A4001/A400102/40051867/
00000105,井戸端,https://tabelog.com/fukuoka/A4001/A400102/40015919/
00000106,Bar Lapin,https://tabelog.com/fukuoka/A4001/A400102/40032605/
00000107,kitchenひーろー,https://tabelog.com/fukuoka/A4001/A400102/40056947/
00000108,GOSHO,https://tabelog.com/fukuoka/A4001/A400102/40057601/
00000109,一鶴 博多中洲店,https://tabelog.com/fukuoka/A4001/A400102/40058175/
00000110,屋台 ひょうたん,https://tabelog.com/fukuoka/A4001/A400102/40055134/
00000111,博多屋台中洲十番,https://tabelog.com/fukuoka/A4001/A400102/40048415/
00000112,奇跡の手羽先 川端店,https://tabelog.com/fukuoka/A4001/A400102/40048310/
00000113,まんぼう,https://tabelog.com/fukuoka/A4001/A400102/40050932/
00000114,バー ウィステリア,https://tabelog.com/fukuoka/A4001/A400102/40005223/
00000115,つちや,https://tabelog.com/fukuoka/A4001/A400102/40061038/
00000116,屋台 おけい,https://tabelog.com/fukuoka/A4001/A400102/40046887/
00000117,ニューハルキヤスタンド,https://tabelog.com/fukuoka/A4001/A400102/40066038/
00000118,焼き鳥 鳥たん 博多中洲店,https://tabelog.com/fukuoka/A4001/A400102/40067699/
00000119,博多中洲 遊食亭,https://tabelog.com/fukuoka/A4001/A400102/40001494/
00000120,てっちゃん,https://tabelog.com/fukuoka/A4001/A400102/40039142/
00000121,広島お好み焼と鉄板焼 だんだんじゃけん,https://tabelog.com/fukuoka/A4001/A400102/40051296/
00000122,博多中洲屋台 交龍,https://tabelog.com/fukuoka/A4001/A400102/40055653/
00000123,ウエスト ゲイツ店,https://tabelog.com/fukuoka/A4001/A400102/40054154/
00000124,中洲食堂宮嶋商店,https://tabelog.com/fukuoka/A4001/A400102/40017878/
00000125,ひょうたん,https://tabelog.com/fukuoka/A4001/A400102/40036717/
00000126,博多旬楽 つかさ,https://tabelog.com/fukuoka/A4001/A400102/40019530/
